#raio,Massa
0,0
1e-17,0.0
1.508151,5.998482105599111e-11
3.016302,4.798784264110842e-10
4.524453,1.619588654866877e-09
6.032604,3.839021445980971e-09
7.540755,7.49807989266005e-09
9.048906,1.2956663292379306e-08
10.557057,2.057466619836781e-08
12.065208,3.071197747080641e-08
13.573359,4.372847932804762e-08
15.08151,5.998404639786273e-08
16.589661,7.983854476872038e-08
18.097812,1.0365183104110064e-07
19.605963000000003,1.3178375137884875e-07
21.114114000000004,1.6459414056057234e-07
22.622265000000006,2.0244282103108616e-07
24.130416000000007,2.456896019529083e-07
25.63856700000001,2.946942782578119e-07
27.14671800000001,3.4981662969843604e-07
28.654869000000012,4.114164198999604e-07
30.163020000000014,4.798533954118467e-07
31.671171000000015,5.55487284759652e-07
33.17932200000001,6.386777974969167e-07
34.68747300000001,7.297846232571319e-07
36.19562400000001,8.2916743080579e-07
37.70377500000001,9.371858670925227e-07
39.211926000000005,1.0541995563033287e-06
40.720077,1.180568098912899e-06
42.228228,1.3166510707370375e-06
43.736379,1.4628080219851882e-06
45.24453,1.6193984763130673e-06
46.752680999999995,1.7867819298754056e-06
48.26083199999999,1.965317850378807e-06
49.76898299999999,2.155365676134726e-06
51.27713399999999,2.357284815112565e-06
52.78528499999999,2.571434643992903e-06
54.293435999999986,2.7981745072208496e-06
55.801586999999984,3.037863716059537e-06
57.30973799999998,3.29086154764375e-06
58.81788899999998,3.5575272440336983e-06
60.32603999999998,3.838220011268932e-06
61.834190999999976,4.133299018422413e-06
63.342341999999974,4.4431233966547374e-06
64.85049299999997,4.7680522382685136e-06
66.35864399999997,5.108444595762909e-06
67.86679499999997,5.464659480888357e-06
69.37494599999997,5.837055863701436e-06
70.88309699999996,6.225992671619923e-06
72.39124799999996,6.631828788478023e-06
73.89939899999996,7.054923053581784e-06
75.40754999999996,7.495634260764695e-06
76.91570099999996,7.954321157443469e-06
78.42385199999995,8.431342443674032e-06
79.93200299999995,8.927056771207697e-06
81.44015399999995,9.441822742547547e-06
82.94830499999995,9.97599891000502e-06
84.45645599999995,1.0529943774756703e-05
85.96460699999994,1.1104015785901343e-05
87.47275799999994,1.1698573339517068e-05
88.98090899999994,1.231397477771884e-05
90.48905999999994,1.2950578387716124e-05
91.99721099999994,1.3608742400870784e-05
93.50536199999993,1.4288824991755223e-05
95.01351299999993,1.499118427721075e-05
96.52166399999993,1.5716178315406193e-05
98.02981499999993,1.6464165104896745e-05
99.53796599999993,1.7235502583683086e-05
101.04611699999992,1.803054862827072e-05
102.55426799999992,1.8849661052729604e-05
104.06241899999992,1.9693197607754002e-05
105.57056999999992,2.056151597972264e-05
107.07872099999992,2.1454973789759107e-05
108.58687199999991,2.2373928592792518e-05
110.09502299999991,2.3318737876618485e-05
111.60317399999991,2.428975906096034e-05
113.11132499999991,2.528734949653065e-05
114.6194759999999,2.6311866464093026e-05
116.1276269999999,2.736366717352421e-05
117.6357779999999,2.844310876287647e-05
119.1439289999999,2.9550548297440297e-05
120.6520799999999,3.068634276880738e-05
122.1602309999999,3.185084909393392e-05
123.6683819999999,3.304442411420423e-05
125.17653299999989,3.426742459449468e-05
126.68468399999989,3.55202072222379e-05
128.1928349999999,3.68031286064874e-05
129.7009859999999,3.8116545276982406e-05
131.20913699999988,3.946081368321314e-05
132.71728799999988,4.083629019348633e-05
134.22543899999988,4.224333109399111e-05
135.73358999999988,4.3682292587865306e-05
137.24174099999988,4.5153530794261944e-05
138.74989199999987,4.6657401747416236e-05
140.25804299999987,4.819426139571284e-05
141.76619399999987,4.976446560075352e-05
143.27434499999987,5.1368370136425145e-05
144.78249599999987,5.300633068796803e-05
146.29064699999986,5.467870285104471e-05
147.79879799999986,5.6385842130809046e-05
149.30694899999986,5.812810394097568e-05
150.81509999999986,5.9905843602889947e-05
152.32325099999986,6.171941634459809e-05
153.83140199999985,6.356917729991791e-05
155.33955299999985,6.545548150750981e-05
156.84770399999985,6.737868390994821e-05
158.35585499999985,6.933913935279338e-05
159.86400599999985,7.133720258366366e-05
161.37215699999985,7.337322825130809e-05
162.88030799999984,7.54475709046795e-05
164.38845899999984,7.756058499200792e-05
165.89660999999984,7.97126248598745e-05
167.40476099999984,8.19040447522858e-05
168.91291199999984,8.413519880974852e-05
170.42106299999983,8.640644106834466e-05
171.92921399999983,8.871812545880712e-05
173.43736499999983,9.107060580559573e-05
174.94551599999983,9.346423582597371e-05
176.45366699999983,9.589936912908464e-05
177.96181799999982,9.837635921502975e-05
179.46996899999982,0.0001008955594739458
180.97811999999982,0.00010345732318508335
182.48627099999982,0.00010606200351588547
183.99442199999982,0.000108709953521067
185.5025729999998,0.00011140152614169414
187.0107239999998,0.00011413707420426466
188.5188749999998,0.0001169169504197885
190.0270259999998,0.00011974150738286886
191.5351769999998,0.0001226110975707838
193.0433279999998,0.00012552607334256826
194.5514789999998,0.00012848678693809667
196.0596299999998,0.000131493590477166
197.5677809999998,0.00013454683595857925
199.0759319999998,0.00013764687525922963
200.5840829999998,0.000140794060133185
202.0922339999998,0.00014398874221077296
203.6003849999998,0.0001472312729976665
205.1085359999998,0.00015052200387396999
206.61668699999979,0.0001538612860933059
208.12483799999978,0.00015724947078190192
209.63298899999978,0.0001606869089376786
211.14113999999978,0.00016417395142933757
212.64929099999978,0.0001677109489954503
214.15744199999978,0.00017129825224354732
215.66559299999977,0.00017493621164920816
217.17374399999977,0.00017862517755515156
218.68189499999977,0.00018236550017032655
220.19004599999977,0.0001861575295690038
221.69819699999977,0.0001900016156898677
223.20634799999976,0.00019389810833510902
